DMR MCP ICI HSLE IMH PRIMECODE STATES
=====================================

Purpose:
  Primecode state ID to state-name mapping for a full boot sequence.

Working first-boot source run:
  /nfs/site/disks/ive_dmr_dcps_001/users/acgarcia/DMR/MCP/mcpV14/xos_swr_ese/CRT/40478/SEQ_1_4T_C4M2_xos_swr_ese.0

Reference used:
  .github/skills/hsle-run-debugger/reset_phase_flow.txt

Format:
  0xNN  STATE_NAME

State Sequence (boot order)
---------------------------
0x01  CLEAR_HPM_SRAM
0x02  FUSE_PULL
0x03  FUSE_POPULATE
0x04  IMH_EARLY_SURVIVABILITY
0x05  FUSE_PULL_PUNIT_LOCK_BITS
0x06  SVID_ACTIONS
0x07  CONFIGURE_HPM
0x08  HPM_CREDIT_INIT_IMH_SYNC
0x09  CONFIGURE_CXL_HPM
0x0a  HPM_ENFORCE_AGENT_ID
0x0b  READ_POC_STRAPS
0x0c  READ_EPOC_VDM_STRAPS
0x0d  DISTRIBUTE_STRAPS_IMH_SYNC
0x0e  RESOLVE_STRAPS
0x0f  RESOLVE_IP_DISABLES
0x10  APPLY_IP_DISABLES
0x11  REF_CLK_READY_HANDSHAKE
0x12  SYNC_DISABLES_UPSTREAM
0x13  WAIT_FOR_CBB_D2D_READY
0x14  HPM_CREDIT_INIT_CBB_SYNC
0x15  FEATURE_IP_BRING_UP
0x16  FW_INIT_PH4
0x17  PM_HANDOFF_PH4_INIT
0x18  PH4_OOBMSM_CONFIG_START
0x19  MARK_PHASE4_COMPLETE
0x1a  SYNC_XXRESET_READY_UPSTREAM
0x1b  DMOPI_LINK_STATUS
0x1c  END_PHASE4_SUICIDE
0x1d  FW_INIT_PH5
0x1e  TPMI_INIT
0x1f  PH5_IP_CONFIG_START
0x20  PH5_SAFE_MODE_CLEAR
0x21  READ_BIST_POC
0x22  DISTRIBUTE_REFETCH_STRAPS_IMH_SYNC
0x23  RESOLVE_REFETCHED_POC_STRAPS
0x24  DISTRIBUTE_STRAPS_CBB_SYNC
0x25  PCIE_CONFIG
0x26  CXL_CONFIG
0x27  D2D_MB_PRE_TRAINING_UPSTREAM_SYNC
0x28  D2D_MB_BASIC_TRAINING
0x29  MESH_PROGRAMMING
0x2a  MC_PROGRAMMING
0x2b  CORE_LLC_ENABLE_UPSTREAM_SYNC
0x2c  RESOLVE_PACKAGE_BSP_AND_MISC
0x2d  CPU_RESET_DONE
0x2e  SAD_CONFIGURATION
0x2f  IO_STACK_CONFIG
0x30  UBOX_PROGRAMMING
0x31  PH5_IP_CONFIG_DONE
0x32  RESOLVE_SSP_MODE
0x33  NCU_CONFIG_SSP_ENTRY_SYNC
0x34  DISTRIBUTE_RESOLVED_CPU
0x35  ENTER_SSP_MODE
0x36  SSP_EXIT_SYNC
0x37  TRIGGER_TSC_DOWNLOAD
0x38  PM_HANDOFF_PH5_INIT
0x39  HWRS_RESET_COMPLETE
0x3a  TELE_CFG
0x3b  TELE_ENABLE
0x3c  PCODE2_COMPLETE
0x3d  FW_INIT_RUNTIME
0x3e  PREPARE_FOR_LOOP

Notes:
  - Both die8 (imh8) and die9 (imh9) are expected to complete the same sequence.
  - Missing a state on one die indicates asymmetric IMH progress.
  - This file is intended as a stable lookup reference for summary generation and debug analysis.
